DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetID_Entrez,TargetGeneSymbol_Entrez
afamelanotide,CHEMBL441738,NA,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,4161,MC5R
afamelanotide,CHEMBL441738,NA,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,4159,MC3R
afamelanotide,CHEMBL441738,NA,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,4160,MC4R
afamelanotide,CHEMBL441738,NA,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,4157,MC1R
afatinib,CHEMBL1173655,DB08916,CN(C)C\C=C\C(=O)NC1=CC2=C(C=C1O[C@H]1CCOC1)N=CN=C2NC1=CC(Cl)=C(F)C=C1,2064,ERBB2
afatinib,CHEMBL1173655,DB08916,CN(C)C\C=C\C(=O)NC1=CC2=C(C=C1O[C@H]1CCOC1)N=CN=C2NC1=CC(Cl)=C(F)C=C1,1956,EGFR
afatinib,CHEMBL1173655,DB08916,CN(C)C\C=C\C(=O)NC1=CC2=C(C=C1O[C@H]1CCOC1)N=CN=C2NC1=CC(Cl)=C(F)C=C1,2066,ERBB4
aflibercept,CHEMBL1742982,NA,NA,5228,PGF
aflibercept,CHEMBL1742982,NA,NA,7422,VEGFA
aflibercept,CHEMBL1742982,NA,NA,7423,VEGFB
agomelatine,CHEMBL10878,DB06594,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,3358,HTR2C
agomelatine,CHEMBL10878,DB06594,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,4544,MTNR1B
agomelatine,CHEMBL10878,DB06594,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,4543,MTNR1A
alacepril,CHEMBL2103775,NA,C[C@H](CSC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1636,ACE
albiglutide,CHEMBL2107841,NA,[H]N[C@@H](CC1=CNC=N1)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(O)=O,2740,GLP1R
alcaftadine,CHEMBL1201747,DB06766,CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=C1C=CC=C2,3269,HRH1
alclometasone dipropionate,CHEMBL1200989,NA,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,2908,NR3C1
aldesleukin,CHEMBL1201438,NA,NA,3559,IL2RA
aldesleukin,CHEMBL1201438,NA,NA,3560,IL2RB
aldesleukin,CHEMBL1201438,NA,NA,3561,IL2RG
aldosterone,CHEMBL273453,DB04630,[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O,866,SERPINA6
alectinib,CHEMBL1738797,DB11363,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,238,ALK
alectinib,CHEMBL1738797,DB11363,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,5979,RET
alefacept,CHEMBL1201571,NA,NA,914,CD2
alemtuzumab,CHEMBL1201587,NA,NA,1043,CD52
alendronic acid,CHEMBL675,DB00630,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,2224,FDPS
alfacalcidol,CHEMBL1601669,DB01436,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)CCCC(C)C,7421,VDR
alfentanil,CHEMBL634,DB00802,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,4988,OPRM1
alfuzosin,CHEMBL709,DB00346,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1,148,ADRA1A
alfuzosin,CHEMBL709,DB00346,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1,147,ADRA1B
alfuzosin,CHEMBL709,DB00346,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1,146,ADRA1D
alimemazine,CHEMBL829,DB01246,CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2,3269,HRH1
alirocumab,CHEMBL2109540,NA,NA,255738,PCSK9
aliskiren,CHEMBL1639,DB09026,[H][C@@](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)(CC1=CC(OCCCOC)=C(OC)C=C1)C(C)C,5972,REN
alitretinoin,CHEMBL705,DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,5467,PPARD
alitretinoin,CHEMBL705,DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,5914,RARA
alitretinoin,CHEMBL705,DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,5916,RARG
alitretinoin,CHEMBL705,DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,5915,RARB
alitretinoin,CHEMBL705,DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,6258,RXRG
alitretinoin,CHEMBL705,DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,6256,RXRA
alitretinoin,CHEMBL705,DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,6257,RXRB
allopurinol,CHEMBL1467,DB00437,OC1=NC=NC2=C1C=NN2,7498,XDH
almotriptan,CHEMBL1505,DB00918,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,3352,HTR1D
almotriptan,CHEMBL1505,DB00918,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,3351,HTR1B
alogliptin,CHEMBL376359,DB06203,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,1803,DPP4
alosetron,CHEMBL1110,DB00969,CN1C2=C(C3=C1C=CC=C3)C(=O)N(CC1=C(C)N=CN1)CC2,3359,HTR3A
alprazolam,CHEMBL661,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2561,GABRB2
alprazolam,CHEMBL661,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2556,GABRA3
alprazolam,CHEMBL661,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2558,GABRA5
alprazolam,CHEMBL661,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2562,GABRB3
alprazolam,CHEMBL661,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2554,GABRA1
alprazolam,CHEMBL661,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2555,GABRA2
alprazolam,CHEMBL661,DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,2566,GABRG2
alprenolol,CHEMBL266195,DB00866,CC(C)NCC(O)COC1=C(CC=C)C=CC=C1,153,ADRB1
alprenolol,CHEMBL266195,DB00866,CC(C)NCC(O)COC1=C(CC=C)C=CC=C1,154,ADRB2
alprostadil,CHEMBL495,NA,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,347732,CATSPER3
alprostadil,CHEMBL495,NA,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,117155,CATSPER2
alprostadil,CHEMBL495,NA,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,378807,CATSPER4
alprostadil,CHEMBL495,NA,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,117144,CATSPER1
alprostadil,CHEMBL495,NA,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,5732,PTGER2
alprostadil,CHEMBL495,NA,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,5731,PTGER1
alteplase,CHEMBL1201593,NA,NA,5340,PLG
alvimopan,CHEMBL270190,DB06274,C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1,4988,OPRM1
amantadine,CHEMBL660,DB00915,NC12CC3CC(CC(C3)C1)C2,116444,GRIN3B
amantadine,CHEMBL660,DB00915,NC12CC3CC(CC(C3)C1)C2,2904,GRIN2B
amantadine,CHEMBL660,DB00915,NC12CC3CC(CC(C3)C1)C2,2903,GRIN2A
amantadine,CHEMBL660,DB00915,NC12CC3CC(CC(C3)C1)C2,2905,GRIN2C
amantadine,CHEMBL660,DB00915,NC12CC3CC(CC(C3)C1)C2,116443,GRIN3A
amantadine,CHEMBL660,DB00915,NC12CC3CC(CC(C3)C1)C2,2906,GRIN2D
amantadine,CHEMBL660,DB00915,NC12CC3CC(CC(C3)C1)C2,2902,GRIN1
ambenonium,CHEMBL1652,DB01122,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1,43,ACHE
ambrisentan,CHEMBL1111,DB06403,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,1909,EDNRA
amcinonide,CHEMBL1200732,DB00288,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O,2908,NR3C1
amfetamine,CHEMBL405,DB00182,CC(N)CC1=CC=CC=C1,6530,SLC6A2
amfetamine,CHEMBL405,DB00182,CC(N)CC1=CC=CC=C1,6531,SLC6A3
amifampridine,CHEMBL354077,NA,NC1=CC=NC=C1N,131096,KCNH8
amifampridine,CHEMBL354077,NA,NC1=CC=NC=C1N,3736,KCNA1
amifampridine,CHEMBL354077,NA,NC1=CC=NC=C1N,3742,KCNA6
amifampridine,CHEMBL354077,NA,NC1=CC=NC=C1N,3750,KCND1
amifampridine,CHEMBL354077,NA,NC1=CC=NC=C1N,3752,KCND3
amifampridine,CHEMBL354077,NA,NC1=CC=NC=C1N,93107,KCNG4
amiloride,CHEMBL945,DB00594,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1,6338,SCNN1B
amiloride,CHEMBL945,DB00594,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1,6337,SCNN1A
aminobutyric acid,CHEMBL96,NA,NCCCC(O)=O,2569,GABRR1
aminocaproic acid,CHEMBL1046,DB00513,NCCCCCC(O)=O,5340,PLG
aminocaproic acid,CHEMBL1046,DB00513,NCCCCCC(O)=O,5327,PLAT
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,1583,CYP11A1
aminoglutethimide,CHEMBL488,DB00357,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,1588,CYP19A1
aminosalicylic acid,CHEMBL1169,DB00233,NC1=CC(O)=C(C=C1)C(O)=O,5742,PTGS1
aminosalicylic acid,CHEMBL1169,DB00233,NC1=CC(O)=C(C=C1)C(O)=O,5743,PTGS2
amiodarone,CHEMBL633,DB01118,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,3757,KCNH2
amisulpride,CHEMBL243712,DB06288,CCN1CCCC1CNC(=O)C1=C(OC)C=C(N)C(=C1)S(=O)(=O)CC,1814,DRD3
amisulpride,CHEMBL243712,DB06288,CCN1CCCC1CNC(=O)C1=C(OC)C=C(N)C(=C1)S(=O)(=O)CC,1813,DRD2
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,6530,SLC6A2
amitriptyline,CHEMBL629,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,6532,SLC6A4
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC=C2OC3=C(C=C(C(O)=O)C(N)=N3)C(=O)C2=C1,5141,PDE4A
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC=C2OC3=C(C=C(C(O)=O)C(N)=N3)C(=O)C2=C1,5143,PDE4C
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC=C2OC3=C(C=C(C(O)=O)C(N)=N3)C(=O)C2=C1,5144,PDE4D
amlexanox,CHEMBL1096,DB01025,CC(C)C1=CC=C2OC3=C(C=C(C(O)=O)C(N)=N3)C(=O)C2=C1,5142,PDE4B
amlodipine,CHEMBL1491,DB00381,[H]C1(C2=C(Cl)C=CC=C2)C(C(=O)OC)=C(C)NC(COCCN)=C1C(=O)OCC,775,CACNA1C
amlodipine,CHEMBL1491,DB00381,[H]C1(C2=C(Cl)C=CC=C2)C(C(=O)OC)=C(C)NC(COCCN)=C1C(=O)OCC,776,CACNA1D
amodiaquine,CHEMBL682,DB00613,CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=C1,3176,HNMT
amoxapine,CHEMBL1113,DB00543,ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1,3362,HTR6
amoxapine,CHEMBL1113,DB00543,ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1,1815,DRD4
amoxapine,CHEMBL1113,DB00543,ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1,6530,SLC6A2
amoxapine,CHEMBL1113,DB00543,ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1,6532,SLC6A4
amperozide,CHEMBL1079935,DB08927,CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1,2166,FAAH
amrinone,CHEMBL12856,DB01427,NC1=CC(=CNC1=O)C1=CC=NC=C1,5139,PDE3A
amsacrine,CHEMBL43,DB00276,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,7155,TOP2B
anagliptin,CHEMBL1929387,DB12417,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N,54878,DPP8
anagliptin,CHEMBL1929387,DB12417,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N,1803,DPP4
anagliptin,CHEMBL1929387,DB12417,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N1CCC[C@H]1C#N,91039,DPP9
anagrelide,CHEMBL760,DB00261,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,5139,PDE3A
