DrugName,DrugID_PubChemCID,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetGeneSymbol_Entrez
abiraterone-acetate,9821849,CHEMBL271227,DB05812,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@@H]3CC=C2C1,CYP17A1
ABT-239,9818903,CHEMBL351231,NA,C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N,HRH1
ABT-239,9818903,CHEMBL351231,NA,C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N,HRH2
ABT-239,9818903,CHEMBL351231,NA,C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N,HRH3
ABT-491,154087,CHEMBL369225,NA,CN(C)C(=O)n1cc(C(=O)c2ccc(Cn3c(C)nc4cnccc34)c(F)c2)c2c(cccc12)C#C,PTAFR
ABT-639,46851313,CHEMBL3590674,NA,Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F,CACNA1G
ABT-639,46851313,CHEMBL3590674,NA,Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F,CACNA1H
ABT-639,46851313,CHEMBL3590674,NA,Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F,CACNA1I
ABT-702,1973,CHEMBL66089,NA,Nc1ncnc2nc(cc(-c3cccc(Br)c3)c12)-c1ccc(nc1)N1CCOCC1,ADK
ABT-724,5025739,CHEMBL440687,NA,C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1,DRD4
ABT-737,11228183,CHEMBL376408,NA,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,BCL2
ABT-737,11228183,CHEMBL376408,NA,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,BCL2L1
ABT-737,11228183,CHEMBL376408,NA,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,BCL2L2
ABT-751,3035714,CHEMBL20684,DB12254,COc1ccc(cc1)S(=O)(=O)Nc1cccnc1Nc1ccc(O)cc1,TUBB
AC-264613,25108278,CHEMBL494502,NA,C\C(=N/NC(=O)[C@H]1[C@@H](CNC1=O)c1ccccc1)c1cccc(Br)c1,F2RL1
AC-55541,9589606,CHEMBL493076,NA,C\C(=N/NC(=O)C(NC(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12)c1cccc(Br)c1,PARP2
AC-55649,1714884,CHEMBL425027,NA,CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O,RARA
AC-55649,1714884,CHEMBL425027,NA,CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O,RARB
AC-7954-(+/-),9797568,CHEMBL192359,NA,CN(C)CCC1(Cc2ccccc2C(=O)O1)c1ccc(Cl)cc1,UTS2R
acalabrutinib,71226662,CHEMBL3707348,DB11703,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(cc2)C(=O)Nc2ccccn2)c2c(N)nccn12,BTK
acalisib,11618268,CHEMBL3545397,NA,C[C@H](Nc1ncnc2[nH]cnc12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1,PIK3CB
acalisib,11618268,CHEMBL3545397,NA,C[C@H](Nc1ncnc2[nH]cnc12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1,PIK3CD
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRA1
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRA2
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRA3
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRA4
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRA5
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRA6
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRB1
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRB2
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRB3
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRD
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRE
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRG1
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRG2
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRG3
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRP
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GABRQ
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRIN1
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRIN2A
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRIN2B
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRIN2C
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRIN2D
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRIN3A
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRIN3B
acamprosate,71158,CHEMBL1201293,DB00659,CC(=O)NCCCS(O)(=O)=O,GRM5
acarbose,41774,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,AMY2A
acarbose,41774,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,GAA
acarbose,41774,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,MGAM
acarbose,41774,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,SI
ACDPP,16759169,CHEMBL1616372,NA,CN(C)c1nc(N)c(nc1Cl)C(=O)Nc1cccnc1,GRM5
acebutolol,1978,CHEMBL642,DB01193,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,ADRB1
acebutolol,1978,CHEMBL642,DB01193,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,ADRB2
acecainide,4342,CHEMBL1097,NA,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,SCN5A
aceclidine,1979,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,CHRM1
aceclidine,1979,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,CHRM2
aceclidine,1979,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,CHRM3
aceclidine,1979,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,CHRM4
aceclidine,1979,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,CHRM5
aceclofenac,71771,CHEMBL93645,DB06736,OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,PTGS2
acefylline,69550,CHEMBL70246,NA,Cn1c2ncn(CC(O)=O)c2c(=O)n(C)c1=O,ADORA1
acemetacin,1981,CHEMBL189171,DB13783,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(O)=O)c2c1,PTGS1
acemetacin,1981,CHEMBL189171,DB13783,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(O)=O)c2c1,PTGS2
aceneuramic-acid,445063,CHEMBL165084,DB04265,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,AZGP1
aceneuramic-acid,445063,CHEMBL165084,DB04265,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,CES1
aceneuramic-acid,445063,CHEMBL165084,DB04265,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,MBL2
aceneuramic-acid,445063,CHEMBL165084,DB04265,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,REG1A
aceneuramic-acid,445063,CHEMBL165084,DB04265,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,SELE
aceneuramic-acid,445063,CHEMBL165084,DB04265,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,SELP
aceneuramic-acid,445063,CHEMBL165084,DB04265,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,SIGLEC1
acenocoumarol,54676537,CHEMBL397420,DB01418,CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O,VKORC1
acepromazine,6077,CHEMBL39560,DB01614,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,ADRA1A
acepromazine,6077,CHEMBL39560,DB01614,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,ADRA1B
acepromazine,6077,CHEMBL39560,DB01614,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,DRD1
acepromazine,6077,CHEMBL39560,DB01614,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,DRD2
acepromazine,6077,CHEMBL39560,DB01614,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,HTR1A
acepromazine,6077,CHEMBL39560,DB01614,CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,HTR2A
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,AQP1
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CA1
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CA12
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CA14
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CA2
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CA3
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CA4
acetazolamide,1986,CHEMBL20,DB00819,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CA7
acetohexamide,1989,CHEMBL1589,DB00414,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,ABCC8
acetohexamide,1989,CHEMBL1589,DB00414,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,KCNJ1
acetohexamide,1989,CHEMBL1589,DB00414,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,KCNJ10
acetohexamide,1989,CHEMBL1589,DB00414,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,KCNJ11
acetohydroxamic-acid,1990,CHEMBL734,DB00551,CC(=O)NO,MMP12
acetophenazine,17676,CHEMBL1085,DB01063,CC(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(CCO)CC3)c2c1,DRD1
acetophenazine,17676,CHEMBL1085,DB01063,CC(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(CCO)CC3)c2c1,DRD2
acetyl-farnesyl-cysteine,6438381,CHEMBL1555989,NA,CC(=O)N[C@@H](CSC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C(O)=O,PPARG
acetyl-11-keto-beta-boswellic-acid,45359902,NA,NA,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)C4[C@@]5(C)CC[C@@H](OC(C)=O)[C@@](C)(C5CC[C@@]34C)C(O)=O)[C@@H]2[C@H]1C,HSD11B1
acetyl-11-keto-beta-boswellic-acid,45359902,NA,NA,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)C4[C@@]5(C)CC[C@@H](OC(C)=O)[C@@](C)(C5CC[C@@]34C)C(O)=O)[C@@H]2[C@H]1C,HSD11B2
acetylcholine,187,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,ACHE
acetylcholine,187,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,CHRM1
acetylcholine,187,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,CHRM2
acetylcholine,187,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,CHRM3
acetylcholine,187,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,CHRM4
acetylcholine,187,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,CHRM5
acetylcholine,187,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,CHRNA2
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,ACY1
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,CHUK
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,GRIN1
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,GRIN2A
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,GRIN2B
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,GRIN2D
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,GRIN3A
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,GSS
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,IKBKB
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,RELA
acetylcysteine,12035,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,SLC7A11
acexamic-acid,2005,CHEMBL2105922,NA,CC(=O)NCCCCCC(O)=O,GAST
acifran,51576,CHEMBL278488,NA,CC1(OC(=CC1=O)C(O)=O)c1ccccc1,HCAR2
acifran,51576,CHEMBL278488,NA,CC1(OC(=CC1=O)C(O)=O)c1ccccc1,HCAR3
acipimox,5310993,CHEMBL345714,DB09055,Cc1cnc(c[n+]1[O-])C(O)=O,HCAR2
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,RARA
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,RARB
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,RARG
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,RBP1
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,RXRA
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,RXRB
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,RXRG
acitretin,5284513,CHEMBL1131,DB00459,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C,STAT3
acivicin,16758175,CHEMBL1231101,NA,N[C@H]([C@@H]1CC(Cl)=NO1)C(O)=O,CTPS1
aclarubicin,2008,CHEMBL502620,DB11617,CCC1(O)CC(OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c2c(cc3C(=O)c4cccc(O)c4C(=O)c3c2O)C1C(=O)OC,TOP1
aclarubicin,2008,CHEMBL502620,DB11617,CCC1(O)CC(OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c2c(cc3C(=O)c4cccc(O)c4C(=O)c3c2O)C1C(=O)OC,TOP2A
aclidinium,11434515,CHEMBL1194325,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,CHRM1
aclidinium,11434515,CHEMBL1194325,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,CHRM2
aclidinium,11434515,CHEMBL1194325,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,CHRM3
aclidinium,11434515,CHEMBL1194325,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,CHRM4
aclidinium,11434515,CHEMBL1194325,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1,CHRM5
acriflavine,452192,CHEMBL2010412,NA,Nc1ccc2cc3ccc(N)cc3nc2c1.C[n+]1c2cc(N)ccc2cc2ccc(N)cc12,HIF1A
acriflavinium,2016,CHEMBL1184529,NA,C[n+]1c2cc(N)ccc2cc2ccc(N)cc12,HIF1A
acrivastine,5284514,CHEMBL1224,DB09488,Cc1ccc(cc1)C(=C/CN1CCCC1)\c1cccc(\C=C\C(O)=O)n1,HRH1
ACT-132577,25099191,CHEMBL2165326,NA,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,EDNRA
ACT-132577,25099191,CHEMBL2165326,NA,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,EDNRB
ACT-462206,40924317,CHEMBL3597952,NA,COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cc(C)cc(C)c1,HCRTR1
ACT-462206,40924317,CHEMBL3597952,NA,COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cc(C)cc(C)c1,HCRTR2
ACTB-1003,23653175,NA,NA,COCc1c(CN2CCOCC2)n2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)c(F)c1,KDR
ACTB-1003,23653175,NA,NA,COCc1c(CN2CCOCC2)n2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)c(F)c1,TEK
ACY-1215,53340666,CHEMBL2364628,DB12376,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1,HDAC1
ACY-1215,53340666,CHEMBL2364628,DB12376,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1,HDAC2
ACY-1215,53340666,CHEMBL2364628,DB12376,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1,HDAC3
ACY-1215,53340666,CHEMBL2364628,DB12376,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1,HDAC6
ACY-1215,53340666,CHEMBL2364628,DB12376,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1,HDAC8
acyclovir,2022,CHEMBL184,DB00787,Nc1nc2n(COCCO)cnc2c(=O)[nH]1,PNP
AD-5467,197383,CHEMBL164603,NA,CC(C)C1Oc2c(cccc2N(CC(O)=O)C1=S)C(C)C,AKR1B1
adapalene,60164,CHEMBL1265,DB00210,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O,RARA
adapalene,60164,CHEMBL1265,DB00210,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O,RARB
adapalene,60164,CHEMBL1265,DB00210,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O,RARG
adapalene,60164,CHEMBL1265,DB00210,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O,RXRA
adapalene,60164,CHEMBL1265,DB00210,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O,RXRB
adapalene,60164,CHEMBL1265,DB00210,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O,RXRG
adaprev,NA,NA,NA,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,IGF2R
adaprev,NA,NA,NA,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,M6PR
adaptavir,184644,CHEMBL181276,NA,C[C@@H](O)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](C)N)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(N)=O,CCR5
adarotene,9864378,CHEMBL442016,NA,OC(=O)\C=C\c1ccc(cc1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2,RARB
adarotene,9864378,CHEMBL442016,NA,OC(=O)\C=C\c1ccc(cc1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2,RARG
adatanserin,130918,CHEMBL1194252,NA,O=C(NCCN1CCN(CC1)c1ncccn1)C12CC3CC(CC(C3)C1)C2,HTR1A
adatanserin,130918,CHEMBL1194252,NA,O=C(NCCN1CCN(CC1)c1ncccn1)C12CC3CC(CC(C3)C1)C2,HTR2A
ademetionine,34755,CHEMBL1088977,DB00118,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,AMD1
ademetionine,34755,CHEMBL1088977,DB00118,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,CBS
ademetionine,34755,CHEMBL1088977,DB00118,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,COMT
ademetionine,34755,CHEMBL1088977,DB00118,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,GNMT
ademetionine,34755,CHEMBL1088977,DB00118,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,MAT1A
ademetionine,34755,CHEMBL1088977,DB00118,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,MAT2A
adenine,190,CHEMBL226345,DB00173,Nc1ncnc2[nH]cnc12,ACACB
adenine,190,CHEMBL226345,DB00173,Nc1ncnc2[nH]cnc12,ACP1
adenine,190,CHEMBL226345,DB00173,Nc1ncnc2[nH]cnc12,APRT
