DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetID_Entrez,TargetGeneSymbol_Entrez
(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,NA,DB03455,[H][C@](NOCCS)(C(O)=O)C1=CNC2=C1C=CC=C2,3558,IL2
(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine,CHEMBL358064,DB02367,CCCCOC1=CC=C(C=C1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(C)(=O)=O,4314,MMP3
(1r)-1-{[(4'-methoxy-1-1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid,CHEMBL202932,NA,[H][C@@](NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(OC)C=C1)(C(C)C)P(O)(O)=O,4317,MMP8
(1r)-1-2-2-trimethylpropyl (r)-methylphosphinate,NA,NA,[H][C@](C)(O[P@]([H])(C)=O)C(C)(C)C,7941,PLA2G7
(1r)-1-2-2-trimethylpropyl (r)-methylphosphinate,NA,NA,[H][C@](C)(O[P@]([H])(C)=O)C(C)(C)C,1066,CES1
(1r)-1-2-2-trimethylpropyl (r)-methylphosphinate,NA,NA,[H][C@](C)(O[P@]([H])(C)=O)C(C)(C)C,5050,PAFAH1B3
(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethyl morpholine-4-carboxylate,NA,DB08195,[H][C@@](CS(=O)(=O)CC1=C(OC(F)F)C=CC=C1)(OC(=O)N1CCOCC1)C(=O)NCC#N,1520,CTSS
(1r)-2-{[amino(imino)methyl]amino}-1-{4-[(4r)-4-(hydroxymethyl)-1-3-2-dioxaborolan-2-yl]phenyl}ethyl nicotinate,NA,NA,[H][C@@](CNC(N)=N)(OC(=O)C1=CC=CN=C1)C1=CC=C(C=C1)B1OC[C@@]([H])(CO)O1,2160,F11
(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,NA,DB08129,[H][C@](O)(CN)C1=CC=CC(=C1)C(F)(F)F,5409,PNMT
(1r)-2-methyl-1-(phenylmethyl)propyl[(1s)-1-formylpentyl]carbamate,CHEMBL113948,DB07592,[H][C@@](CCCC)(NC(=O)O[C@]([H])(CC1=CC=CC=C1)C(C)C)C=O,1513,CTSK
(1r)-menthyl hexyl phosphonate group,NA,DB08200,[H][C@@]1(C)CC[C@@]([H])(C(C)C)[C@@]([H])(C1)O[P@](O)(=O)CCCCCC,590,BCHE
(1r)-n-6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1-2-3-4-tetrahydroisoquinoline-1-carboxamide,NA,NA,[H][C@]1(N(CCC2=CC(O)=C(OC)C=C12)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO,4316,MMP7
(1r-2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide,NA,NA,[H][C@@]1(CS(=O)(=O)C2=CC=C(OC)C=C2)CCCC[C@@]1([H])C(=O)NCCN,1513,CTSK
(1r-2r-3r-4s-5r)-4-(benzylamino)-5-(methylthio)cyclopentane-1-2-3-triol,NA,NA,[H][C@@]1(O)[C@]([H])(O)[C@]([H])(NCC2=CC=CC=C2)[C@@]([H])(SC)[C@]1([H])O,4124,MAN2A1
(1r-3r)-5-[(2e)-3-{(1s-3r)-2-2-3-trimethyl-3-[6-6-6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1-3-diol,NA,NA,[H][C@]1(CC[C@](C)(CCC#CC(O)(C(F)(F)F)C(F)(F)F)C1(C)C)\C=C\C=C1C[C@](O)([H])C[C@@](O)([H])C1,7421,VDR
(1r-3r)-5-[(2e)-3-{(1s-3r)-2-2-3-trimethyl-3-[6-6-6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1-3-diol,NA,NA,[H][C@]1(CC[C@](C)(CCC#CC(O)(C(F)(F)F)C(F)(F)F)C1(C)C)\C=C\C=C1C[C@](O)([H])C[C@@](O)([H])C1,8648,NCOA1
(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1-7]naphtyridin-5-yloxy)-ehylamine,CHEMBL207496,NA,[H][C@@](N)(COC1=C2C=CC(=NC2=CN=C1)C1=CC=NC=C1)CC1=CNC2=C1C=CC=C2,5566,PRKACA
(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1-7]naphtyridin-5-yloxy)-ehylamine,CHEMBL207496,NA,[H][C@@](N)(COC1=C2C=CC(=NC2=CN=C1)C1=CC=NC=C1)CC1=CNC2=C1C=CC=C2,5569,PKIA
(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1-3-4-trioxo-1-2-3-4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate,NA,NA,[H][C@@](OC(C)=O)(C(=O)NC1=CC=CC2=C1C(=O)C(=O)NC2=O)C1=CC=CC(Cl)=C1,836,CASP3
(1s)-1-(9-deazaadenin-9-yl)-1-4-5-trideoxy-1-4-imino-5-methylthio-d-ribitol,NA,NA,[H][C@]1(CSC)N[C@@]([H])(C2=CNC3=C2N=CNC3([H])N)[C@]([H])(O)[C@]1([H])O,4507,MTAP
(1s)-1-{[(4'-methoxy-1-1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid,CHEMBL382201,NA,[H][C@@](NS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(OC)C=C1)(C(C)C)P(O)(O)=O,4317,MMP8
(1s)-1-cyclopropyl-2-[(2s)-4-(2-5-difluorophenyl)-2-phenyl-2-5-dihydro-1h-pyrrol-1-yl]-2-oxoethanamine,CHEMBL204459,NA,[H][C@](N)(C1CC1)C(=O)N1CC(=C[C@@]1([H])C1=CC=CC=C1)C1=CC(F)=CC=C1F,3832,KIF11
(1s)-1-2-3-4-tetrahydro-benzo[c]phenanthrene-2-3-4-triol,NA,NA,[H][C@@]1(O)CC2=C(C=CC3=C2C2=C(C=CC=C2)C=C3)[C@@]([H])(O)[C@]1([H])O,5423,POLB
(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,CHEMBL383541,DB07107,[H][C@@](N)(COC1=CN=CC(\C=C\C2=CC=NC=C2)=C1)CC1=CNC2=C1C=CC=C2,5566,PRKACA
(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,CHEMBL383541,DB07107,[H][C@@](N)(COC1=CN=CC(\C=C\C2=CC=NC=C2)=C1)CC1=CNC2=C1C=CC=C2,5569,PKIA
(1s)-2-(1h-indol-3-yl)-1-{[(5-isoquinolin-6-ylpyridin-3-yl)oxy]methyl}ethylamine,NA,NA,[H][C@@](N)(COC1=CN=CC(=C1)C1=CC2=CC=NC=C2C=C1)CC1([H])C=NC2=CC=CC=C12,5566,PRKACA
(1s)-2-(1h-indol-3-yl)-1-{[(5-isoquinolin-6-ylpyridin-3-yl)oxy]methyl}ethylamine,NA,NA,[H][C@@](N)(COC1=CN=CC(=C1)C1=CC2=CC=NC=C2C=C1)CC1([H])C=NC2=CC=CC=C12,5569,PKIA
(1s)-2-[(2s-5r)-2-(aminomethyl)-5-ethynylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine,NA,NA,[H][C@](N)(C1CCCC1)C(=O)N1[C@]([H])(CN)CC[C@]1([H])C#C,1803,DPP4
(1s)-2-[(2s-5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine,NA,NA,[H][C@](N)(C1CCCC1)C(=O)N1[C@]([H])(CN)CC[C@]1([H])C#CC,1803,DPP4
(1s)-2-oxo-1-phenyl-2-[(1-3-4-trioxo-1-2-3-4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate,NA,NA,[H][C@@](OC(C)=O)(C(=O)NC1=CC=CC2=C1C(=O)C(=O)NC2=O)C1=CC=CC=C1,836,CASP3
(1s)-menthyl hexyl phosphonate group,NA,DB08201,[H][C@@]1(C)CC[C@@]([H])(C(C)C)[C@@]([H])(C1)O[P@](O)(=O)CCCCCC,590,BCHE
(1s-2r-5s)-5-[3-(trifluoromethyl)-5-6-dihydro[1-2-4]triazolo[4-3-a]pyrazin-7(8h)-yl]-2-(2-4-5-trifluorophenyl)cyclohexanamine,CHEMBL233360,NA,[H][C@@]1(CC[C@]([H])(C2=C(F)C=C(F)C(F)=C2)[C@@]([H])(N)C1)N1CCN2C(C1)=NN=C2C(F)(F)F,1803,DPP4
(1s-2s-3r-4s-5s)-2-3-4-trihydroxy-5-(hydroxymethyl)cyclohexyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate,NA,NA,OC[C@H]1C[C@@H](S\C(=N/OS(O)(=O)=O)CC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O,3938,LCT
(1s-2s-3r-6r)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1-2-3-triol,CHEMBL1234952,NA,[H][C@@]1(O)C(CO)=C[C@@]([H])(NCCCCCCCC)[C@]([H])(O)[C@@]1([H])O,4124,MAN2A1
(1s-3r-4s-5s-7s)-4-{[2-(4-methoxyphenoxy)-2-methylpropanoyl]amino}adamantane-1-carboxamide,NA,NA,[H][C@@]12C[C@@]3([H])C[C@@](C1)(C[C@@]([H])(C2)[C@@]3([H])NC(=O)C(C)(C)OC1=CC=C(OC)C=C1)C(N)=O,3290,HSD11B1
(1s-3r-6s)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid,NA,NA,[H][C@@]1(C[C@@]11C[C@]([H])(NC1=O)C1=CC=C(OCC2=CC(=NC3=C2C=CC=C3)C2=CC=CC=C2)C=C1)C(O)=O,6868,ADAM17
(1s-3s-5s)-2-{(2s)-2-amino-2-[(1r-3s-5r-7s)-3-hydroxytricyclo[3.3.1.1~3-7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile,NA,NA,[H][C@@](N)(C(=O)N1[C@@]2([H])C[C@@]2([H])C[C@@]1([H])C#N)[C@]12C[C@@]3([H])C[C@]([H])(C[C@](O)(C3)C1)C2,1803,DPP4
(1s-4r-9s)-5-(trifluoromethyl)-1-2-3-4-tetrahydro-1-4-methanonaphthalen-9-amine,NA,NA,[H][C@]12CC[C@]([H])(C3=C(C=CC=C13)C(F)(F)F)[C@@]2([H])N,5409,PNMT
(1s-5s-7r)-n~7~-(biphenyl-4-ylmethyl)-n~3~-hydroxy-6-8-dioxa-3-azabicyclo[3.2.1]octane-3-7-dicarboxamide,NA,NA,[H][C@]12CN(C[C@]([H])(O1)[C@@]([H])(O2)C(=O)NCC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)NO,4321,MMP12
(1s-6br-9as-11r-11br)-9a-11b-dimethyl-1-[(methyloxy)methyl]-3-6-9-trioxo-1-6-6b-7-8-9-9a-10-11-11b-decahydro-3h-furo[4-3-2-de]indeno[4-5-h][2]benzopyran-11-yl acetate,CHEMBL428496,NA,[H][C@@]12CCC(=O)[C@@]1(C)C[C@@]([H])(OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@]([H])(COC)[C@]13C,5295,PIK3R1
(1s-6br-9as-11r-11br)-9a-11b-dimethyl-1-[(methyloxy)methyl]-3-6-9-trioxo-1-6-6b-7-8-9-9a-10-11-11b-decahydro-3h-furo[4-3-2-de]indeno[4-5-h][2]benzopyran-11-yl acetate,CHEMBL428496,NA,[H][C@@]12CCC(=O)[C@@]1(C)C[C@@]([H])(OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@]([H])(COC)[C@]13C,5294,PIK3CG
(1s-6br-9as-11r-11br)-9a-11b-dimethyl-1-[(methyloxy)methyl]-3-6-9-trioxo-1-6-6b-7-8-9-9a-10-11-11b-decahydro-3h-furo[4-3-2-de]indeno[4-5-h][2]benzopyran-11-yl acetate,CHEMBL428496,NA,[H][C@@]12CCC(=O)[C@@]1(C)C[C@@]([H])(OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@]([H])(COC)[C@]13C,5290,PIK3CA
(1s-6br-9as-11r-11br)-9a-11b-dimethyl-1-[(methyloxy)methyl]-3-6-9-trioxo-1-6-6b-7-8-9-9a-10-11-11b-decahydro-3h-furo[4-3-2-de]indeno[4-5-h][2]benzopyran-11-yl acetate,CHEMBL428496,NA,[H][C@@]12CCC(=O)[C@@]1(C)C[C@@]([H])(OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@]([H])(COC)[C@]13C,5347,PLK1
(1s-6r)-3-{[3-(trifluoromethyl)-5-6-dihydro[1-2-4]triazolo[4-3-a]pyrazin-7(8h)-yl]carbonyl}-6-(2-4-5-trifluorophenyl)cyclohex-3-en-1-amine,NA,NA,[H][C@]1(N)CC(=CC[C@]1([H])C1=CC(F)=C(F)C=C1F)C(=O)N1CCN2C(C1)=NN=C2C(F)(F)F,1803,DPP4
(1s-7s-8s-8ar)-1-2-3-7-8-8a-hexahydro-7-methyl-8-[2-[(2r-4r)-tetrahydro-4-hy droxy-6-oxo-2h-pyran-2-yl]ethyl]-1-naphthalenol,NA,NA,[H][C@]1(O)CC(=O)O[C@@]([H])(CC[C@@]2([H])[C@@]([H])(C)C=CC3=CCC[C@]([H])(O)[C@]23[H])C1,1066,CES1
(1z)-4-(4-fluorophenyl)-2-methylidenebutan-1-imine,NA,DB08176,[H]N=C([H])C(=C)CCC1=CC=C(F)C=C1,4129,MAOB
(2-{[(4-bromo-2-fluorobenzyl)amino]carbonyl}-5-chlorophenoxy)acetic acid,NA,DB07028,OC(=O)COC1=CC(Cl)=CC=C1C(=O)NCC1=C(F)C=C(Br)C=C1,231,AKR1B1
(2-bromoethyl)(2-'formyl-4'-aminophenyl) acetate,NA,DB07955,NC1=CC(C=O)=C(CC(=O)OCCBr)C=C1,1990,CELA1
(2-carbamoylmethyl-5-propyl-octahydro-indol-7-yl)acetic acid,NA,DB07958,CCCC1=CC2=C(NC(CC(N)=O)=C2)C(CC(O)=O)=C1,30814,PLA2G2E
(2-2-diphosphonoethyl)(dodecyl)dimethylphosphonium,NA,NA,CCCCCCCCCCCC[P+](C)(C)CC(P(O)(O)=O)P(O)(O)=O,9453,GGPS1
(20s)-19-20-21-22-tetrahydro-19-oxo-5h-18-20-ethano-12-14-etheno-6-10-metheno-18h-benz[d]imidazo[4-3-k][1-6-9-12]oxatriaza-cyclooctadecosine-9-carbonitrile,CHEMBL496879,NA,[H][C@@]12CCN(C1=O)C1=C3C=C(OC4=C(C=CC(CN5C=NC=C5CN2)=C4)C#N)C=CC3=CC=C1,100529261,CHURC1-FNTB
(20s)-19-20-21-22-tetrahydro-19-oxo-5h-18-20-ethano-12-14-etheno-6-10-metheno-18h-benz[d]imidazo[4-3-k][1-6-9-12]oxatriaza-cyclooctadecosine-9-carbonitrile,CHEMBL496879,NA,[H][C@@]12CCN(C1=O)C1=C3C=C(OC4=C(C=CC(CN5C=NC=C5CN2)=C4)C#N)C=CC3=CC=C1,2342,FNTB
(20s)-19-20-21-22-tetrahydro-19-oxo-5h-18-20-ethano-12-14-etheno-6-10-metheno-18h-benz[d]imidazo[4-3-k][1-6-9-12]oxatriaza-cyclooctadecosine-9-carbonitrile,CHEMBL496879,NA,[H][C@@]12CCN(C1=O)C1=C3C=C(OC4=C(C=CC(CN5C=NC=C5CN2)=C4)C#N)C=CC3=CC=C1,2339,FNTA
(20s)-19-20-22-23-tetrahydro-19-oxo-5h-21h-18-20-ethano-12-14-etheno-6-10-methenobenz[d]imidazo[4-3-l][1-6-9-13]oxatriazacyclonoadecosine-9-carbonitrile,NA,NA,[H][C@]12CCN(C1=O)C1=CC=CC3=C1C=C(OC1([H])CC(CN4C=NC=C4CCN2)=CC[C@]1([H])C#N)C=C3,100529261,CHURC1-FNTB
(20s)-19-20-22-23-tetrahydro-19-oxo-5h-21h-18-20-ethano-12-14-etheno-6-10-methenobenz[d]imidazo[4-3-l][1-6-9-13]oxatriazacyclonoadecosine-9-carbonitrile,NA,NA,[H][C@]12CCN(C1=O)C1=CC=CC3=C1C=C(OC1([H])CC(CN4C=NC=C4CCN2)=CC[C@]1([H])C#N)C=C3,2342,FNTB
(20s)-19-20-22-23-tetrahydro-19-oxo-5h-21h-18-20-ethano-12-14-etheno-6-10-methenobenz[d]imidazo[4-3-l][1-6-9-13]oxatriazacyclonoadecosine-9-carbonitrile,NA,NA,[H][C@]12CCN(C1=O)C1=CC=CC3=C1C=C(OC1([H])CC(CN4C=NC=C4CCN2)=CC[C@]1([H])C#N)C=C3,2339,FNTA
(21s)-1aza-4-4-dimethyl-6-19-dioxa-2-3-7-20-tetraoxobicyclo[19.4.0] pentacosane,CHEMBL1235837,NA,[H][C@@]12CCCCN1C(=O)C(=O)C(C)(C)COC(=O)CCCCCCCCCCCOC2=O,2280,FKBP1A
(2e)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one,NA,DB07500,COC1=CC(O)=C(C=C1CC=C(C)C)C(=O)\C=C\C1=CC=C(O)C=C1,30814,PLA2G2E
(2e)-3-(2-oct-1-yn-1-ylphenyl)acrylic acid,NA,DB08492,CCCCCCC#CC1=CC=CC=C1\C=C\C(O)=O,246,ALOX15
(2e)-3-(3-4-dihydroxyphenyl)-2-iminopropanoic acid,NA,NA,[H]N=C(CC1=CC(O)=C(O)C=C1)C(O)=O,1610,DAO
(2e)-n-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,CHEMBL94061,DB08564,CN(C)C\C=C\C(=O)NC1=CC=C2N=CN=C(NC3=CC(Br)=CC=C3)C2=C1,6714,SRC
(2e)-n-hydroxy-3-[1-methyl-4-(phenylacetyl)-1h-pyrrol-2-yl]prop-2-enamide,CHEMBL12760,DB07350,CN1C=C(C=C1\C=C\C(=O)NO)C(=O)CC1=CC=CC=C1,55869,HDAC8
(2e-3s)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1-3-dihydro-2-3'-biindol-2'(1'h)-one,NA,NA,OC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)\C2=C1/NC2=C(C=CC=C2)[C@]1(C)O,1017,CDK2
(2e-4e)-11-methoxy-3-7-11-trimethyldodeca-2-4-dienoic acid,NA,NA,COC(C)(C)CCC[C@@](C)([H])C\C=C\C(\C)=C\C(O)=O,6257,RXRB
(2e-4e)-11-methoxy-3-7-11-trimethyldodeca-2-4-dienoic acid,NA,NA,COC(C)(C)CCC[C@@](C)([H])C\C=C\C(\C)=C\C(O)=O,10499,NCOA2
(2e-4e)-11-methoxy-3-7-11-trimethyldodeca-2-4-dienoic acid,NA,NA,COC(C)(C)CCC[C@@](C)([H])C\C=C\C(\C)=C\C(O)=O,10062,NR1H3
(2r)-({4-[amino(imino)methyl]phenyl}amino){5-ethoxy-2-fluoro-3-[(3r)-tetrahydrofuran-3-yloxy]phenyl}aceticacid,NA,DB04590,CCOC1=CC([C@@H](NC2=CC=C(C=C2)C(N)=N)C(O)=O)=C(F)C(O[C@@H]2CCOC2)=C1,2155,F7
(2r)-1-(2-6-dimethylphenoxy)propan-2-amine,CHEMBL147507,NA,[H][C@](C)(N)COC1=C(C)C=CC=C1C,5328,PLAU
(2r)-1-(dimethylamino)-3-{4-[(6-{[2-fluoro-5-(trifluoromethyl)phenyl]amino}pyrimidin-4-yl)amino]phenoxy}propan-2-ol,NA,DB07054,[H][C@](O)(COC1=CC=C(NC2=NC=NC(NC3=C(F)C=CC(=C3)C(F)(F)F)=C2)C=C1)CN(C)C,1017,CDK2
(2r)-1-[(4-tert-butylphenyl)sulfonyl]-2-methyl-4-(4-nitrophenyl)piperazine,CHEMBL427896,DB07049,[H][C@@]1(C)CN(CCN1S(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)[N+]([O-])=O,3290,HSD11B1
(2r)-1-[(5-6-diphenyl-7h-pyrrolo[2-3-d]pyrimidin-4-yl)amino]propan-2-ol,NA,NA,[H][C@](C)(O)CNC1=C2C(NC(=C2C2=CC=CC=C2)C2=CC=CC=C2)=NC=N1,1111,CHEK1
(2r)-1-[4-({4-[(2-5-dichlorophenyl)amino]pyrimidin-2-yl}amino)phenoxy]-3-(dimethylamino)propan-2-ol,NA,NA,[H][C@](O)(COC1=CC=C(NC2=NC(NC3=C(Cl)C=CC(Cl)=C3)=CC=N2)C=C1)CN(C)C,1017,CDK2
(2r)-1-[4-({6-[(2-6-difluorophenyl)amino]pyrimidin-4-yl}amino)phenoxy]-3-(dimethylamino)propan-2-ol,NA,NA,[H][C@@](O)(COC1=CC=C(NC2=NC=NC(NC3=C(F)C=CC=C3F)=C2)C=C1)CN(C)C,1017,CDK2
(2r)-1-{4-[(4-anilino-5-bromopyrimidin-2-yl)amino]phenoxy}-3-(dimethylamino)propan-2-ol,NA,DB07504,[H][C@@](O)(COC1=CC=C(NC2=NC(NC3=CC=CC=C3)=C(Br)C=N2)C=C1)CN(C)C,1017,CDK2
(2r)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9h-purin-2-yl}amino)butan-1-ol,CHEMBL1235702,DB04776,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(=N1)N(C)CC1=CC=CC=C1,8566,PDXK
(2r)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9h-purin-2-yl}amino)butan-1-ol,CHEMBL518800,DB08463,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(NCC2=CC=C(C=C2)C2=CC=CC=N2)=N1,890,CCNA2
(2r)-2-(4-chlorophenyl)-2-[4-(1h-pyrazol-4-yl)phenyl]ethanamine,CHEMBL227924,DB07857,[H][C@](CN)(C1=CC=C(Cl)C=C1)C1=CC=C(C=C1)C1=CNN=C1,5566,PRKACA
(2r)-2-(4-chlorophenyl)-2-[4-(1h-pyrazol-4-yl)phenyl]ethanamine,CHEMBL227924,DB07857,[H][C@](CN)(C1=CC=C(Cl)C=C1)C1=CC=C(C=C1)C1=CNN=C1,5569,PKIA
(2r)-2-(4-chlorophenyl)-2-phenylethanamine,NA,DB07860,[H][C@@](CN)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,5566,PRKACA
(2r)-2-(4-chlorophenyl)-2-phenylethanamine,NA,DB07860,[H][C@@](CN)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,5569,PKIA
(2r)-2-(5-chloro-2-thienyl)-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}propene-1-sulfonamide,CHEMBL391640,DB07211,C\C(=C/S(=O)(=O)N[C@@]1([H])CCN([C@](C)([H])C(=O)N2CCOCC2)C1=O)C1=CC=C(Cl)S1,2147,F2
(2r)-2-(5-chloro-2-thienyl)-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}propene-1-sulfonamide,CHEMBL391640,DB07211,C\C(=C/S(=O)(=O)N[C@@]1([H])CCN([C@](C)([H])C(=O)N2CCOCC2)C1=O)C1=CC=C(Cl)S1,2159,F10
(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1-5-a][1-3-5]triazin-2-yl]amino}butan-1-ol,CHEMBL482193,NA,[H][C@@](CC)(CO)NC1=NC2=C(C=NN2C(NCC2=CC=CC=C2)=N1)C(C)C,890,CCNA2
(2r)-2-amino-3-3-3-trifluoro-n-hydroxy-2-{[(4-phenoxyphenyl)sulfonyl]methyl}propanamide,NA,NA,N[C@](CS(=O)(=O)C1=CC=C(OC2=CC=CC=C2)C=C1)(C(=O)NO)C(F)(F)F,4318,MMP9
(2r)-2-benzyl-3-nitropropanoic acid,CHEMBL407567,DB06924,[H][C@@](CC1=CC=CC=C1)(C[N+]([O-])=O)C(O)=O,1357,CPA1
(2r)-3-{[(4z)-5-6-diphenyl-6-7-dihydro-4h-pyrrolo[2-3-d]pyrimidin-4-ylidene]amino}propane-1-2-diol,NA,NA,[H][C@](O)(CO)CNC1=C2C(NC(=C2C2=CC=CC=C2)C2=CC=CC=C2)=NC=N1,1111,CHEK1
