DrugName,DrugID_LSM,DrugID_ChEMBL,DrugID_DrugBank,DrugID_PubChemCID,DrugSMILES,TargetGeneSymbol_Entrez,MechanismOfAction
acetazolamide,LSM-5543,CHEMBL20,DB00819,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CA2,Carbonic anhydrase II inhibitor
acetazolamide,LSM-5543,CHEMBL20,DB00819,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CA4,Carbonic anhydrase IV inhibitor
acetohexamide,LSM-5638,CHEMBL1589,DB00414,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,ABCC8,"Sulfonylurea receptor 1, Kir6.2 blocker"
acetohexamide,LSM-5638,CHEMBL1589,DB00414,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,KCNJ11,"Sulfonylurea receptor 1, Kir6.2 blocker"
acetylcholine,LSM-5888,CHEMBL667,DB03128,187,CC(=O)OCC[N+](C)(C)C,CHRM3,Muscarinic acetylcholine receptor M3 agonist
acitretin,LSM-43217,CHEMBL1131,DB00459,5284513,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,RARA,Retinoid receptor agonist
acitretin,LSM-43217,CHEMBL1131,DB00459,5284513,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,RARB,Retinoid receptor agonist
acitretin,LSM-43217,CHEMBL1131,DB00459,5284513,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,RARG,Retinoid receptor agonist
acitretin,LSM-43217,CHEMBL1131,DB00459,5284513,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,RXRA,Retinoid receptor agonist
acitretin,LSM-43217,CHEMBL1131,DB00459,5284513,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,RXRB,Retinoid receptor agonist
acitretin,LSM-43217,CHEMBL1131,DB00459,5284513,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC,RXRG,Retinoid receptor agonist
aclidinium bromide,LSM-45884,CHEMBL1194325,NA,NA,NA,CHRM3,Muscarinic acetylcholine receptor M3 antagonist
acrivastine,LSM-45461,CHEMBL1224,NA,NA,NA,HRH1,Histamine H1 receptor antagonist
adapalene,LSM-37048,CHEMBL1265,DB00210,60164,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,RARA,Retinoic acid receptor agonist
adapalene,LSM-37048,CHEMBL1265,DB00210,60164,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,RARB,Retinoic acid receptor agonist
adapalene,LSM-37048,CHEMBL1265,DB00210,60164,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,RARG,Retinoic acid receptor agonist
adenosine,LSM-28568,CHEMBL477,DB00640,60961,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,ADORA1,Adenosine receptor agonist
adenosine,LSM-28568,CHEMBL477,DB00640,60961,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,ADORA2A,Adenosine receptor agonist
adenosine,LSM-28568,CHEMBL477,DB00640,60961,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,ADORA2B,Adenosine receptor agonist
adenosine,LSM-28568,CHEMBL477,DB00640,60961,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,ADORA3,Adenosine receptor agonist
AEE788 (NVP-AEE788),LSM-45507,CHEMBL587723,NA,NA,NA,EGFR,Epidermal growth factor receptor erbB1 inhibitor
AEE788 (NVP-AEE788),LSM-45507,CHEMBL587723,NA,NA,NA,ERBB2,Receptor protein-tyrosine kinase erbB-2 inhibitor
AEE788 (NVP-AEE788),LSM-45507,CHEMBL587723,NA,NA,NA,FLT1,Vascular endothelial growth factor receptor 1 inhibitor
AEE788 (NVP-AEE788),LSM-45507,CHEMBL587723,NA,NA,NA,KDR,Vascular endothelial growth factor receptor 2 inhibitor
afatinib,LSM-43226,CHEMBL1173655,DB08916,10184653,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,EGFR,Epidermal growth factor receptor erbB1 inhibitor
afatinib,LSM-43226,CHEMBL1173655,DB08916,10184653,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,ERBB2,Receptor protein-tyrosine kinase erbB-2 inhibitor
afatinib,LSM-43226,CHEMBL1173655,DB08916,10184653,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,ERBB4,Receptor protein-tyrosine kinase erbB-4 inhibitor
afuresertib,LSM-42768,CHEMBL2219422,DB11648,46843057,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl,AKT1,Serine/threonine-protein kinase AKT inhibitor
afuresertib,LSM-42768,CHEMBL2219422,DB11648,46843057,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl,AKT2,Serine/threonine-protein kinase AKT inhibitor
afuresertib,LSM-42768,CHEMBL2219422,DB11648,46843057,CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl,AKT3,Serine/threonine-protein kinase AKT inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBA1A,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBA1B,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBA1C,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBA3C,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBA3E,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBA4A,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB1,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB2A,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB2B,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB3,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB4A,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB4B,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB6,Tubulin inhibitor
albendazole,LSM-3782,CHEMBL1483,DB00518,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,TUBB8,Tubulin inhibitor
alclometasone dipropionate,LSM-6722,CHEMBL1200989,NA,636374,CCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2[C@@H](CC4=CC(=O)C=C[C@]34C)Cl)O)C)C)OC(=O)CC,NR3C1,Glucocorticoid receptor agonist
alectinib,LSM-1202,CHEMBL1738797,DB11363,49806720,CCC1=C(C=C2C(=C1)C(=O)C3=C(C2(C)C)NC4=C3C=CC(=C4)C#N)N5CCC(CC5)N6CCOCC6,ALK,ALK tyrosine kinase receptor inhibitor
alectinib,LSM-1202,CHEMBL1738797,DB11363,49806720,CCC1=C(C=C2C(=C1)C(=O)C3=C(C2(C)C)NC4=C3C=CC(=C4)C#N)N5CCC(CC5)N6CCOCC6,RET,Tyrosine-protein kinase receptor RET inhibitor
alendronic acid,LSM-5831,CHEMBL870,DB00630,2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,FDPS,Farnesyl diphosphate synthase inhibitor
alfuzosin,LSM-1291,CHEMBL709,DB00346,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,ADRA1A,Adrenergic receptor alpha-1 agonist
alfuzosin,LSM-1291,CHEMBL709,DB00346,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,ADRA1B,Adrenergic receptor alpha-1 agonist
alfuzosin,LSM-1291,CHEMBL709,DB00346,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,ADRA1D,Adrenergic receptor alpha-1 agonist
alisertib,LSM-37184,CHEMBL483158,DB05220,24771867,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,AURKA,Serine/threonine-protein kinase Aurora-A inhibitor
aliskiren,LSM-2653,CHEMBL1639,DB09026,5493444,CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,REN,Renin inhibitor
alitretinoin,LSM-42856,CHEMBL705,DB00523,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,RARA,Retinoid receptor agonist
alitretinoin,LSM-42856,CHEMBL705,DB00523,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,RARB,Retinoid receptor agonist
alitretinoin,LSM-42856,CHEMBL705,DB00523,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,RARG,Retinoid receptor agonist
alitretinoin,LSM-42856,CHEMBL705,DB00523,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,RXRA,Retinoid receptor agonist
alitretinoin,LSM-42856,CHEMBL705,DB00523,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,RXRB,Retinoid receptor agonist
alitretinoin,LSM-42856,CHEMBL705,DB00523,449171,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,RXRG,Retinoid receptor agonist
allopurinol,LSM-5919,CHEMBL1467,DB00437,2094,C1=C2C(=NC=NC2=O)NN1,XDH,Xanthine dehydrogenase inhibitor
almotriptan,LSM-25659,CHEMBL1505,DB00918,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,HTR1B,Serotonin 1b (5-HT1b) receptor agonist
almotriptan,LSM-25659,CHEMBL1505,DB00918,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,HTR1D,Serotonin 1d (5-HT1d) receptor agonist
almotriptan,LSM-25659,CHEMBL1505,DB00918,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,HTR1F,Serotonin 1f (5-HT1f) receptor agonist
alosetron,LSM-5576,CHEMBL1110,DB00969,2099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,HTR3A,Serotonin 3a (5-HT3a) receptor antagonist
alpelisib,LSM-4256,CHEMBL2396661,DB12015,56649450,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,PIK3CA,PI3-kinase p110-alpha subunit inhibitor
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRA1,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRA2,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRA3,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRA4,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRA5,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRA6,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRB1,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRB2,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRB3,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRD,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRE,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRG1,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRG2,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRG3,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRP,GABA-A receptor; anion channel positive allosteric modulator
alprazolam,LSM-5460,CHEMBL661,DB00404,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,GABRQ,GABA-A receptor; anion channel positive allosteric modulator
alprostadil,LSM-42979,CHEMBL495,NA,5280723,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,PTGER1,Prostanoid EP1 receptor agonist
alprostadil,LSM-42979,CHEMBL495,NA,5280723,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,PTGER2,Prostanoid EP2 receptor agonist
alvimopan (monohydrate),LSM-45414,CHEMBL270190,NA,NA,NA,OPRM1,Mu opioid receptor antagonist
amantadine,LSM-3571,CHEMBL660,DB00915,2130,C1C2CC3CC1CC(C2)(C3)N,GRIN1,Glutamate [NMDA] receptor antagonist
amantadine,LSM-3571,CHEMBL660,DB00915,2130,C1C2CC3CC1CC(C2)(C3)N,GRIN2A,Glutamate [NMDA] receptor antagonist
amantadine,LSM-3571,CHEMBL660,DB00915,2130,C1C2CC3CC1CC(C2)(C3)N,GRIN2B,Glutamate [NMDA] receptor antagonist
amantadine,LSM-3571,CHEMBL660,DB00915,2130,C1C2CC3CC1CC(C2)(C3)N,GRIN2C,Glutamate [NMDA] receptor antagonist
amantadine,LSM-3571,CHEMBL660,DB00915,2130,C1C2CC3CC1CC(C2)(C3)N,GRIN2D,Glutamate [NMDA] receptor antagonist
amantadine,LSM-3571,CHEMBL660,DB00915,2130,C1C2CC3CC1CC(C2)(C3)N,GRIN3A,Glutamate [NMDA] receptor antagonist
