DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetGeneSymbol_Entrez,TargetID_Entrez
2-methoxyestradiol,CHEMBL299613,DB02342,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,ATF2,1386
2-methoxyestradiol,CHEMBL299613,DB02342,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,PTEN,5728
2-methoxyestradiol,CHEMBL299613,DB02342,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,TUBB1,81027
2-methoxyestradiol,CHEMBL299613,DB02342,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,CTGF,1490
2-methoxyestradiol,CHEMBL299613,DB02342,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,MAPK14,1432
2-methoxyestradiol,CHEMBL299613,DB02342,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,MAPK8,5599
2-methylhistamine,CHEMBL12620,NA,CC1=NC=C(N1)CCN,HRH4,59340
2s-4r-4-methylglutamate,CHEMBL288166,DB03425,C[C@H](C[C@@H](C(=O)O)N)C(=O)O,GRIK1,2897
2s-4r-4-methylglutamate,CHEMBL288166,DB03425,C[C@H](C[C@@H](C(=O)O)N)C(=O)O,SLC1A2,6506
2s-4r-4-methylglutamate,CHEMBL288166,DB03425,C[C@H](C[C@@H](C(=O)O)N)C(=O)O,GRIK4,2900
2s-4r-4-methylglutamate,CHEMBL288166,DB03425,C[C@H](C[C@@H](C(=O)O)N)C(=O)O,GRIK2,2898
3-5-dihydroxybenzoic acid,CHEMBL95308,NA,C1=C(C=C(C=C1O)O)C(=O)O,HCAR1,27198
3-hydroxy-3-methylglutaryl-coenzyme a,CHEMBL1794644,NA,C[C@](CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)O,HMGCS1,3157
3-hydroxybenzylhydrazine dihydrochloride,CHEMBL352205,NA,C1=CC(=CC(=C1)O)CNN,DDC,1644
4-damp,CHEMBL76897,NA,C[N+]1(CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C.[I-],CHRM1,1128
4-damp,CHEMBL76897,NA,C[N+]1(CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C.[I-],CHRM2,1129
4-damp,CHEMBL76897,NA,C[N+]1(CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C.[I-],CHRM3,1131
4-damp,CHEMBL76897,NA,C[N+]1(CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C.[I-],CHRM4,1132
4-damp,CHEMBL76897,NA,C[N+]1(CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C.[I-],CHRM5,1133
4'-hydroxytamoxifen,CHEMBL486,NA,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC(=CC=C3)O,MYC,4609
4-methylhistamine,CHEMBL275443,NA,CC1=C(N=CN1)CCN,HRH4,59340
4sc-203,CHEMBL3545358,DB12669,NA,AURKB,9212
4sc-203,CHEMBL3545358,DB12669,NA,KDR,3791
4sc-203,CHEMBL3545358,DB12669,NA,FLT4,2324
4sc-203,CHEMBL3545358,DB12669,NA,FLT1,2321
4sc-203,CHEMBL3545358,DB12669,NA,FLT3,2322
5-(n-ethyl-n-isopropyl)amiloride,CHEMBL517986,NA,CCN(C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N)C(C)C,PKD2L1,9033
5-(n-ethyl-n-isopropyl)amiloride,CHEMBL517986,NA,CCN(C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N)C(C)C,ADRA2A,150
5-(n-ethyl-n-isopropyl)amiloride,CHEMBL517986,NA,CCN(C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N)C(C)C,ASIC1,41
5-benzyloxytryptamine,CHEMBL1288652,NA,C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC=C3CCN,TRPM8,79054
5-meo-dmt,CHEMBL7257,NA,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,HTR1F,3355
5-meo-dmt,CHEMBL7257,NA,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,HTR1E,3354
5-meo-dmt,CHEMBL7257,NA,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,HTR2C,3358
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,HTR6,3362
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,NAT1,9
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,HTR1D,3352
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,HTR1E,3354
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,HTR1B,3351
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,HTR1F,3355
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,HTR2A,3356
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,SERPINA3,12
5-methoxytryptamine,CHEMBL8165,NA,COC1=CC2=C(C=C1)NC=C2CCN,HTR2C,3358
5-methylfurmethiodide,CHEMBL92387,NA,CC1=CC=C(O1)C[N+](C)(C)C.[I-],CHRM1,1128
5-methylfurmethiodide,CHEMBL92387,NA,CC1=CC=C(O1)C[N+](C)(C)C.[I-],CHRM4,1132
5-methylfurmethiodide,CHEMBL92387,NA,CC1=CC=C(O1)C[N+](C)(C)C.[I-],CHRM3,1131
5-methylfurmethiodide,CHEMBL92387,NA,CC1=CC=C(O1)C[N+](C)(C)C.[I-],CHRM2,1129
5-nitro-2-phenylpropylaminobenzoic acid [nppb],CHEMBL1256759,NA,C1=CC=C(C=C1)CCCNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O,ANO1,55107
5-nitro-2-phenylpropylaminobenzoic acid [nppb],CHEMBL1256759,NA,C1=CC=C(C=C1)CCCNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O,TRPA1,8989
5-nitro-2-phenylpropylaminobenzoic acid [nppb],CHEMBL1256759,NA,C1=CC=C(C=C1)CCCNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O,CLCN7,1186
5-oxo-ete,CHEMBL18028,NA,CCCCC/C=C\C/C=C\C/C=C\C=C\C(=O)CCCC(=O)O,OXER1,165140
6-aminonicotinamide,CHEMBL1324108,NA,C1=CC(=NC=C1C(=O)N)N,GPI,2821
6-aminonicotinamide,CHEMBL1324108,NA,C1=CC(=NC=C1C(=O)N)N,TRH,7200
6-aminonicotinamide,CHEMBL1324108,NA,C1=CC(=NC=C1C(=O)N)N,MT1H,4496
6-aminonicotinamide,CHEMBL1324108,NA,C1=CC(=NC=C1C(=O)N)N,ACHE,43
6-diazo-5-oxo-l-norleucine,CHEMBL97485,NA,C(C/C(=C/[N+]#N)/[O-])[C@@H](C(=O)O)N,GLS,2744
6-diazo-5-oxo-l-norleucine,CHEMBL97485,NA,C(C/C(=C/[N+]#N)/[O-])[C@@H](C(=O)O)N,HSPA4,3308
6-diazo-5-oxo-l-norleucine,CHEMBL97485,NA,C(C/C(=C/[N+]#N)/[O-])[C@@H](C(=O)O)N,DDIT3,1649
6-o-benzylguanine,CHEMBL407874,DB11919,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,CYP2B6,1555
6-o-benzylguanine,CHEMBL407874,DB11919,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,CYP1A2,1544
7-ethyl-10-hydroxy-camptothecin,CHEMBL837,DB05482,CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)[C@@]5(CC)O)O,TOP1MT,116447
7-ethyl-10-hydroxy-camptothecin,CHEMBL837,DB05482,CCC1=C2C=C(C=CC2=NC3=C1CN4C3=CC5=C(C4=O)COC(=O)[C@@]5(CC)O)O,TOP1,7150
7-nitroindazole,CHEMBL247378,DB02207,C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2,NOS1,4842
81c6,CHEMBL2109582,NA,NA,TNC,3371
8-azaguanine,CHEMBL374107,DB01667,C12=NNNC1=NC(=NC2=O)N,PLK1,5347
8-azaguanine,CHEMBL374107,DB01667,C12=NNNC1=NC(=NC2=O)N,GDA,9615
8-azaguanine,CHEMBL374107,DB01667,C12=NNNC1=NC(=NC2=O)N,ACHE,43
8-cyclopentyltheophylline,CHEMBL106265,NA,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3CCCC3,ADORA1,134
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR2A,3356
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR2C,3358
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR2B,3357
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR1A,3350
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR1D,3352
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR1F,3355
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR1E,3354
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR5A,3361
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,HTR1B,3351
8-oh-dpat,CHEMBL56,NA,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O,SERPINA3,12
a-119637,CHEMBL268758,NA,COC1=CC=CC=C1N2CCN(CC2)CCN3C(=O)C4=C(NC3=O)SC=C4C5=CC=CC=C5,ADRA1A,148
a-119637,CHEMBL268758,NA,COC1=CC=CC=C1N2CCN(CC2)CCN3C(=O)C4=C(NC3=O)SC=C4C5=CC=CC=C5,ADRA1B,147
a-123189,CHEMBL13856,NA,CC1=CC=CC(=C1)C2=CSC3=C2C(=O)N(C(=O)N3)CCN4CCN(CC4)C5=CC=CC=C5OC,ADRA1A,148
a-123189,CHEMBL13856,NA,CC1=CC=CC(=C1)C2=CSC3=C2C(=O)N(C(=O)N3)CCN4CCN(CC4)C5=CC=CC=C5OC,ADRA1B,147
a-192621,CHEMBL332794,NA,CCCOC1=CC=C(C=C1)[C@H]2[C@@H]([C@H](CN2CC(=O)NC3=C(C=CC=C3CC)CC)C4=CC5=C(C=C4)OCO5)C(=O)O,EDNRB,1910
a-286982,CHEMBL19677,NA,CC(C)C1=CC=CC=C1SC2=C(C=C(C=C2)/C=C/C(=O)N3CCN(CC3)C(=O)C)[N+](=O)[O-],ITGB2,3689
a-349-821,CHEMBL27979,NA,C[C@H]1CC[C@@H](N1CCCOC2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)N4CCOCC4)C,HRH1,3269
a-443654,CHEMBL379300,DB08073,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,PHKG1,5260
a-443654,CHEMBL379300,DB08073,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,AKT3,10000
a-443654,CHEMBL379300,DB08073,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,CDC42BPB,9578
a-443654,CHEMBL379300,DB08073,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,KRAS,3845
a-443654,CHEMBL379300,DB08073,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,PIK3CA,5290
a-443654,CHEMBL379300,DB08073,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,AKT2,208
a-443654,CHEMBL379300,DB08073,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N,AKT1,207
abacavir,CHEMBL1380,DB01048,C1CC1NC2=NC(=NC3=C2N=CN3[C@@H]4C[C@@H](C=C4)CO)N,HLA-B,3106
abacavir,CHEMBL1380,DB01048,C1CC1NC2=NC(=NC3=C2N=CN3[C@@H]4C[C@@H](C=C4)CO)N,TBXA2R,6915
abagovomab,CHEMBL1742981,NA,NA,MUC16,94025
abaperidone,CHEMBL151475,NA,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCOC4=CC5=C(C=C4)C(=O)C(=CO5)CO,DRD2,1813
abaperidone,CHEMBL151475,NA,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCOC4=CC5=C(C=C4)C(=O)C(=CO5)CO,HTR2A,3356
abaperidone,CHEMBL151475,NA,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCOC4=CC5=C(C=C4)C(=O)C(=CO5)CO,HTR1A,3350
abarelix,CHEMBL1252,DB00106,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC3=CN=CC=C3)NC(=O)[C@@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@@H](CC5=CC6=CC=CC=C6C=C5)NC(=O)C,GNRHR,2798
abarelix,CHEMBL1252,DB00106,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC3=CN=CC=C3)NC(=O)[C@@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@@H](CC5=CC6=CC=CC=C6C=C5)NC(=O)C,KLK3,354
abarelix,CHEMBL1252,DB00106,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC3=CN=CC=C3)NC(=O)[C@@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@@H](CC5=CC6=CC=CC=C6C=C5)NC(=O)C,GNRH1,2796
abatacept,CHEMBL1201823,NA,NA,CD80,941
abatacept,CHEMBL1201823,NA,NA,CD86,942
abciximab,CHEMBL1201584,NA,NA,ITGA2,3673
abciximab,CHEMBL1201584,NA,NA,ITGAV,3685
abciximab,CHEMBL1201584,NA,NA,ITGA2B,3674
abciximab,CHEMBL1201584,NA,NA,ITGB3,3690
