DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetName,Accession,TargetGeneSymbol_Entrez,Swissprot,Organism
acarbose,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Lysosomal alpha-glucosidase,P10253,GAA,LYAG_HUMAN,Homo sapiens
acarbose,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Alpha-amylase 1,P04745,AMY1A,AMY1_HUMAN,Homo sapiens
acarbose,CHEMBL1566,DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Pancreatic alpha-amylase,P04746,AMY2A,AMYP_HUMAN,Homo sapiens
acebutolol,CHEMBL642,DB01193,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1,Beta-1 adrenergic receptor,P08588,ADRB1,ADRB1_HUMAN,Homo sapiens
acebutolol,CHEMBL642,DB01193,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1,Beta-2 adrenergic receptor,P07550,ADRB2,ADRB2_HUMAN,Homo sapiens
aceclidine,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,Muscarinic acetylcholine receptor M1,P11229,CHRM1,ACM1_HUMAN,Homo sapiens
aceclidine,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,Muscarinic acetylcholine receptor M2,P08172,CHRM2,ACM2_HUMAN,Homo sapiens
aceclidine,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,Muscarinic acetylcholine receptor M3,P20309,CHRM3,ACM3_HUMAN,Homo sapiens
aceclidine,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,Muscarinic acetylcholine receptor M5,P08912,CHRM5,ACM5_HUMAN,Homo sapiens
aceclidine,CHEMBL20835,NA,CC(=O)OC1CN2CCC1CC2,Muscarinic acetylcholine receptor M4,P08173,CHRM4,ACM4_HUMAN,Homo sapiens
aceclofenac,CHEMBL93645,DB06736,OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,Prostaglandin G/H synthase 2,P35354,PTGS2,PGH2_HUMAN,Homo sapiens
aceclofenac,CHEMBL93645,DB06736,OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,Mitogen-activated protein kinase 1,P28482,MAPK1,MK01_HUMAN,Homo sapiens
aceclofenac,CHEMBL93645,DB06736,OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,Transthyretin,P02766,TTR,TTHY_HUMAN,Homo sapiens
acefylline,CHEMBL70246,NA,CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O,Adenosine receptor A2b,P29275,ADORA2B,AA2BR_HUMAN,Homo sapiens
acemetacin,CHEMBL189171,DB13783,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,Lactoylglutathione lyase,Q04760,GLO1,LGUL_HUMAN,Homo sapiens
acemetacin,CHEMBL189171,DB13783,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,Prostaglandin G/H synthase 1,P23219,PTGS1,PGH1_HUMAN,Homo sapiens
acemetacin,CHEMBL189171,DB13783,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,Prostaglandin G/H synthase 2,P35354,PTGS2,PGH2_HUMAN,Homo sapiens
acenocoumarol,CHEMBL397420,DB01418,OC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=C(OC1=O)C=CC=C2,Vitamin K epoxide reductase complex subunit 1,Q9BQB6,VKORC1,VKOR1_HUMAN,Homo sapiens
acepromazine,CHEMBL39560,DB01614,CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(C=C12)C(C)=O,Major prion protein,P04156,PRNP,PRIO_HUMAN,Homo sapiens
aceprometazine,CHEMBL2104054,DB01615,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C,Histamine H1 receptor,P35367,HRH1,HRH1_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase 5A mitochondrial,P35218,CA5A,CAH5A_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,O43570,CA1,CAH12_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,P00915,CA12,CAH13_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,P00918,CA13,CAH14_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,P07451,CA14,CAH1_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,P22748,CA2,CAH2_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,P23280,CA3,CAH3_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,P35218,CA4,CAH4_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,Q16790,CA5B,CAH5B_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,Q8N1Q1,CA6,CAH6_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,Q9ULX7,CA7,CAH7_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Carbonic anhydrase,Q9Y2D0,CA9,CAH9_HUMAN,Homo sapiens
acetazolamide,CHEMBL20,DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Aquaporin-1,P29972,AQP1,AQP1_HUMAN,Homo sapiens
acetic acid,CHEMBL539,DB03166,CC(O)=O,Tyrosine-protein kinase Fyn,P06241,FYN,FYN_HUMAN,Homo sapiens
acetic acid,CHEMBL539,DB03166,CC(O)=O,Tyrosine-protein kinase Lck,P06239,LCK,LCK_HUMAN,Homo sapiens
acetohexamide,CHEMBL1589,DB00414,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,Sulfonylurea receptor 1 Kir6.2,Q09428,ABCC8,ABCC8_HUMAN,Homo sapiens
acetohexamide,CHEMBL1589,DB00414,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,Sulfonylurea receptor 1 Kir6.2,Q14654,KCNJ11,KCJ11_HUMAN,Homo sapiens
acetohydroxamic acid,CHEMBL734,DB00551,CC(=O)NO,Carbonic anhydrase 2,P00918,CA2,CAH2_HUMAN,Homo sapiens
acetophenazine,CHEMBL1085,DB01063,CC(=O)C1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(CCO)CC3)C2=C1,D(2) dopamine receptor,P14416,DRD2,DRD2_HUMAN,Homo sapiens
acetoxolone,CHEMBL207413,NA,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@](C)(CC[C@]4(C)CC[C@@]32C)C(O)=O)C1(C)C,Estradiol 17-beta-dehydrogenase 1,P14061,HSD17B1,DHB1_HUMAN,Homo sapiens
acetoxolone,CHEMBL207413,NA,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@](C)(CC[C@]4(C)CC[C@@]32C)C(O)=O)C1(C)C,Corticosteroid 11-beta-dehydrogenase isozyme 1,P28845,HSD11B1,DHI1_HUMAN,Homo sapiens
acetoxolone,CHEMBL207413,NA,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@](C)(CC[C@]4(C)CC[C@@]32C)C(O)=O)C1(C)C,Corticosteroid 11-beta-dehydrogenase isozyme 2,P80365,HSD11B2,DHI2_HUMAN,Homo sapiens
acetoxolone,CHEMBL207413,NA,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@](C)(CC[C@]4(C)CC[C@@]32C)C(O)=O)C1(C)C,Estradiol 17-beta-dehydrogenase 2,P37059,HSD17B2,DHB2_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Neuronal acetylcholine receptor subunit alpha-7,P36544,CHRNA7,ACHA7_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor M3,P20309,CHRM3,ACM3_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Neuronal acetylcholine receptor; alpha4/beta2,P17787,CHRNA4,ACHA4_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Neuronal acetylcholine receptor; alpha4/beta2,P43681,CHRNB2,ACHB2_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor M5,P08912,CHRM5,ACM5_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor M1,P11229,CHRM1,ACM1_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor M4,P08173,CHRM4,ACM4_HUMAN,Homo sapiens
acetylcholine,CHEMBL667,DB03128,CC(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor M2,P08172,CHRM2,ACM2_HUMAN,Homo sapiens
acetylcysteine,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,Superoxide dismutase [Mn] mitochondrial,P04179,SOD2,SODM_HUMAN,Homo sapiens
acetylcysteine,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,Vascular endothelial growth factor A,P15692,VEGFA,VEGFA_HUMAN,Homo sapiens
acetylcysteine,CHEMBL600,DB06151,CC(=O)N[C@@H](CS)C(O)=O,Cytochrome c,P99999,CYCS,CYC_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,P05023,ATP1A1,AT1A1_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,P05026,ATP1A2,AT1A2_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,P13637,ATP1A3,AT1A3_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,P14415,ATP1A4,AT1A4_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,P50993,ATP1B1,AT1B1_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,P54709,ATP1B2,AT1B2_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,P54710,ATP1B3,AT1B3_HUMAN,Homo sapiens
acetyldigitoxin,CHEMBL3545057,DB00511,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,Sodium/potassium-transporting ATPase,Q13733,FXYD2,ATNG_HUMAN,Homo sapiens
acetylmethadol,CHEMBL170179,DB01433,CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,Potassium voltage-gated channel subfamily H member 2,Q12809,KCNH2,KCNH2_HUMAN,Homo sapiens
acetylmethadol,CHEMBL170179,DB01433,CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,Mu-type opioid receptor,P35372,OPRM1,OPRM_HUMAN,Homo sapiens
acetylsalicylic acid,CHEMBL25,DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,Gamma-glutamyltranspeptidase 1,P19440,GGT1,GGT1_HUMAN,Homo sapiens
acetylsalicylic acid,CHEMBL25,DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,Prostaglandin G/H synthase 1,P23219,PTGS1,PGH1_HUMAN,Homo sapiens
acetylsalicylic acid,CHEMBL25,DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,Prostaglandin G/H synthase 2,P35354,PTGS2,PGH2_HUMAN,Homo sapiens
acetylsalicylic acid,CHEMBL25,DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,Acid-sensing ion channel 3,Q9UHC3,ASIC3,ASIC3_HUMAN,Homo sapiens
acipimox,CHEMBL345714,DB09055,CC1=CN=C(C=[N+]1[O-])C(O)=O,Hydroxycarboxylic acid receptor 2,Q8TDS4,HCAR2,HCAR2_HUMAN,Homo sapiens
acitretin,CHEMBL1131,DB00459,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,Retinoic acid receptor alpha,P10276,RARA,RARA_HUMAN,Homo sapiens
acitretin,CHEMBL1131,DB00459,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,Retinoic acid receptor gamma,P13631,RARG,RARG_HUMAN,Homo sapiens
acitretin,CHEMBL1131,DB00459,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,Bile salt export pump,O95342,ABCB11,ABCBB_HUMAN,Homo sapiens
aclarubicin,CHEMBL502620,DB11617,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=CC=CC(O)=C1C3=O,5-hydroxytryptamine receptor 2B,P41595,HTR2B,5HT2B_HUMAN,Homo sapiens
aclarubicin,CHEMBL502620,DB11617,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=CC=CC(O)=C1C3=O,72 kDa type IV collagenase,P08253,MMP2,MMP2_HUMAN,Homo sapiens
aclatonium,CHEMBL2106580,DB08897,CC(OC(C)=O)C(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor,P08172,CHRM1,ACM1_HUMAN,Homo sapiens
aclatonium,CHEMBL2106580,DB08897,CC(OC(C)=O)C(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor,P08173,CHRM2,ACM2_HUMAN,Homo sapiens
aclatonium,CHEMBL2106580,DB08897,CC(OC(C)=O)C(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor,P08912,CHRM3,ACM3_HUMAN,Homo sapiens
aclatonium,CHEMBL2106580,DB08897,CC(OC(C)=O)C(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor,P11229,CHRM4,ACM4_HUMAN,Homo sapiens
aclatonium,CHEMBL2106580,DB08897,CC(OC(C)=O)C(=O)OCC[N+](C)(C)C,Muscarinic acetylcholine receptor,P20309,CHRM5,ACM5_HUMAN,Homo sapiens
aclidinium bromide,CHEMBL551466,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,Muscarinic acetylcholine receptor M2,P08172,CHRM2,ACM2_HUMAN,Homo sapiens
aclidinium bromide,CHEMBL551466,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,Muscarinic acetylcholine receptor M1,P11229,CHRM1,ACM1_HUMAN,Homo sapiens
aclidinium bromide,CHEMBL551466,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,Muscarinic acetylcholine receptor M3,P20309,CHRM3,ACM3_HUMAN,Homo sapiens
aclidinium bromide,CHEMBL551466,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,Muscarinic acetylcholine receptor M4,P08173,CHRM4,ACM4_HUMAN,Homo sapiens
aclidinium bromide,CHEMBL551466,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,Muscarinic acetylcholine receptor M5,P08912,CHRM5,ACM5_HUMAN,Homo sapiens
acotiamide,CHEMBL2107723,DB12482,COC1=CC(O)=C(C=C1OC)C(=O)NC1=NC(=CS1)C(=O)NCCN(C(C)C)C(C)C,Acetylcholinesterase,P22303,ACHE,ACES_HUMAN,Homo sapiens
acrivastine,CHEMBL1224,DB09488,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1,Histamine H1 receptor,P35367,HRH1,HRH1_HUMAN,Homo sapiens
acrivastine,CHEMBL1224,DB09488,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1,Multidrug resistance protein 1,P08183,ABCB1,MDR1_HUMAN,Homo sapiens
adalimumab,CHEMBL1201580,NA,NA,Tumor necrosis factor,P01375,TNF,TNFA_HUMAN,Homo sapiens
adapalene,CHEMBL1265,DB00210,COC1=CC=C(C=C1C12CC3CC(CC(C3)C1)C2)C1=CC=C2C=C(C=CC2=C1)C(O)=O,Retinoic acid receptor alpha,P10276,RARA,RARA_HUMAN,Homo sapiens
adapalene,CHEMBL1265,DB00210,COC1=CC=C(C=C1C12CC3CC(CC(C3)C1)C2)C1=CC=C2C=C(C=CC2=C1)C(O)=O,Retinoic acid receptor gamma,P13631,RARG,RARG_HUMAN,Homo sapiens
